User,Location,Text
donvargas_con_e,Bogotá D.C.,"Adelante con #ParoNacional29A cuídense porque estamos solos, no tenemos ni @DefensoriaCol el dichoso defensor del p… https://t.co/6qEpt8VafO"
YesidMe02164276,,"Y las fuerzas policiales siguen atentando contra el pueblo colombiano

#ColombiaResiste #NoALaReformaTributaria… https://t.co/sJbnCgPgZ8"
kmilosilva9,ibague Colombia,"Que pasa con derechos humanos no estan aqui que esta pasando? Ayudenmen a compartir #ParoIndefinido
#ParoNacional29A

 #Ibague"
PauhVasquez,"PARO NACIONAL, NO A LA REFORMA",@DoctorKrapula ellos siempre la han tenido clara #ElParoNOPara #ParoNacional29A https://t.co/nfPEfi1JHB
Loury98231279,,P*tos bandalos vayan y dostrosen las cosas de sus casas. Malp*ridos monos #ParoNacional29A #MeDuelesColombia
juliobejulio,New York,Hagámosle un monumento a la juventud en todas las plazas de Colombia #ParoNacional29A
tumastologo1,"Medellín, Colombia",Los de las protestas atacan todo lo que no entienden entre ellos los #libros  que hacemos así es la ignorancia…… https://t.co/6pHVvHjWlV
candanga_anon,Planeta Tierra ,"‘Los farsantes de la OEA, Grupo de Lima, Unión Europea, EEUU hacen silencio cómplice ante la masacre colombiana’… https://t.co/e7zvjMf6xE"
ItsStephanieJ,,COMO ME DUELES COLOMBIA 💔💔💔 #LaReformaSeCae #MalditoUribismo #ParoNacional1M #ParoEstudiantil3M #ParoNacional29A https://t.co/Q7DzJYwKBI
lamiradateatral,,@RevistaSemana La principal reforma sería castigar con “ mano dura” su propia corrupción y mermelada. Y no pararan… https://t.co/XHd0DbIK5F
maryjogc,,"¡Así es! La reforma fue la excusa, no la causa @fcarrilloflorez ¡No olvidamos las noches de terror a las que nos ha… https://t.co/4KUIAgHFqi"
alfredovelazco,Ecuador,"𝗣𝗿𝗼𝘁𝗲𝘀𝘁𝗮𝘀 𝗲𝗻 #Colombia
27 Abr a 1 May 2021 (12h00/12h00)

Principales tendencias en el top10
#ParoNacional28A… https://t.co/hU7ZdVYVjU"
Bryan_Kmpo,Colombia,Resumen: “El cambio en Colombia NO SE HARÁ con el HAMPÓN y EXTORSIONISTA de Gustavo Petro en el poder”.… https://t.co/XilaRIKWa8
ColombiaSeLeva1,,"Todos conocemos a un miembro de la Policía, ESMAD, soldados y otros de FFMM. Algunos de ellos son de nuestra famili… https://t.co/Z9F0q9DycN"
ColombiaSeLeva1,,"Todos conocemos a un miembro de la Policía, ESMAD, soldados y otros de FFMM. Algunos de ellos son de nuestra famili… https://t.co/h5mqRprJP5"
ColombiaSeLeva1,,"Todos conocemos a un miembro de la Policía, ESMAD, soldados y otros de FFMM. Algunos de ellos son de nuestra famili… https://t.co/nTn449V1Yp"
ColombiaSeLeva1,,"Todos conocemos a un miembro de la Policía, ESMAD, soldados y otros de FFMM. Algunos de ellos son de nuestra famili… https://t.co/Gu4eMNMgqO"
ColombiaSeLeva1,,"Todos conocemos a un miembro de la Policía, ESMAD, soldados y otros de FFMM. Algunos de ellos son de nuestra famili… https://t.co/iA9wzXpQ3d"
ColombiaSeLeva1,,"Todos conocemos a un miembro de la Policía, ESMAD, soldados y otros de FFMM. Algunos de ellos son de nuestra famili… https://t.co/gwJMDmf9Fp"
ColombiaSeLeva1,,"Todos conocemos a un miembro de la Policía, ESMAD, soldados y otros de las FFMM. Algunos de ellos son de nuestra fa… https://t.co/8lq1rJ8Jrm"
maryjogc,,¡Llóralo chairo! No olvidamos los días de terror:#21N #22N #9S #10S #8M #ParoNacional28A #ParoNacional29A #Paro30A… https://t.co/rFaXMmdW7T
nicolasspb107,"Bogotá, Colombia","✅Retiro de la reforma tributaria.
🔲Retiro de la reforma de la salud.
🔲Renuncia de Carrasquilla. 
🔲Judicialización d… https://t.co/sns6pwkFTU"
caritoroal,Bogotá ,"El Paro ! 
#Colombiaendictadura
#ParoNacional2M #ParoNacional1M 
#NoalaReformaTributaria
#ParoNacional28A… https://t.co/orYUinu0HY"
caritoroal,Bogotá ,"Gloriosa imagen. 
#Colombiaendictadura
#ParoNacional2M #ParoNacional1M 
#NoalaReformaTributaria
#ParoNacional28A… https://t.co/NFeZsqgLnb"
caritoroal,Bogotá ,"Si pedían que se hiciera virtual....
#Colombiaendictadura
#ParoNacional2M #ParoNacional1M 
#NoalaReformaTributaria… https://t.co/SaI1Ajl7Fi"
SolMarTyC,"Israel,  ישראל ",autor intellectual de massacres de policias en el #ParoNacional29A #ParoNacional1M #ParoNacional2M… https://t.co/FSabs1MlVm
rr1g0,No donde debería,"Cuantos de estos no dicen nada mientras en #Colombia matan a los manifestantes en las calles?

#ParoNacional29A https://t.co/HPOtRkHLNm"
maryjogc,,"Con ""acción colectiva"" vamos por más! ¡Renuncia de políticos que promovieron marchas vandálicas y criminales! Reduc… https://t.co/y8kPJp09WW"
JonEchevDj,Cali,"Gracias mi Cali bella.
#ParoNacional #ParoNacionalIndefinido #ParoNacional28A #ParoNacional29A #ParoNacional30A… https://t.co/fGXLQ67BH8"
Dariorubep,,"Y la porquería de @juancsaldarriag militarizado el parque de Soacha
#ULTIMAHORA 
#ParoNacional29A… https://t.co/xDhh2ytPCQ"
LaNegra7410,Colombia,Lloro por todos los que salieron a marchar pacíficamente por un futuro mejor y no volverán a casa 😢🥺… https://t.co/bn3KrFyKHk
davorueda,,Que miedo eso de querer salir a marchar y el no saber si mi familia volverá a verme. #GolpeDeEstadoColombia… https://t.co/ZcspTMbjlm
chile_les,,"Chile les manda a decir que tiene que llevar también limones ayuda contra el gas lacrimógeno
#28AbrilParoNacional… https://t.co/79c2HnWE6Q"
stxvenm,La gran puta mierda,"Para los que dicen que ""así no se protesta"" les digo ""así no se gobierna""
#ParoNacional28A #ParoNacional… https://t.co/bqlK2WNUHe"
AlexCam64703446,,El único comento en el que pueden hacer una reforma tan hp es cuando un colombiano reciba ingresos dignos sin tener… https://t.co/XQpnqKL2eV
ESPINELRAFAEL,Bruselas,@WRadioColombia @IvanDuque El presidente esta tratando de apagar un incendio con gasolina! #IvanDuqueRenuncie… https://t.co/PwbJw3TukA
caritoroal,Bogotá ,"En serio, se lavaron las manos cómo si nada. Qué asco!
#Colombiaendictadura
#ParoNacional2M #ParoNacional1M… https://t.co/Y5nfKD6ZZk"
JuanseMorenoM,"Bogotá, D.C., Colombia",Los tibios 70 hijueputas re contra malparidos de @DCoronell y calvo samper y todos los retrasados mentales aún está… https://t.co/bD2258eGGZ
Dianaoc88121467,Latinoamerica ,"""En Colombia no debe reinar la Violencia si no la ESPERANZA, la convivencia ARMÓNICA y principalmente REINAR la PAZ… https://t.co/pgrksJGnjf"
Dianaoc88121467,Latinoamerica ,"Si estuviera vivo Antonio Nariño, editor de la declaración de los derechos del hombre y ciudadano
Qué diría.… https://t.co/1c8Gp0SYvG"
Mr_caneli,"Bogotá, D.C., Colombia","Yo sigo luchando por mi pais, llevo 4 días y seguiremos los que toque!!!
#ParoNacional28A #ParoNacional29A… https://t.co/FoZeU2sUXK"
BrandonHA85,,"CARACOL Y RCN dicen ""Vándalos"", la prensa internacional dice ""pueblo cansado"" #RCNmanipula #AbajoRCN #RCNMiente #ParoNacional29A"
__NataliaD,,"Este malparido nunca ha tenido el control del país, y ahora su única forma de respaldarse es ""amedrentarnos"" es un… https://t.co/EstSU9EiSi"
MutanteOrg,"Bogotá, D.C., Colombia","✊ #ParoNacional29A

▪️ La policía y la represión https://t.co/Kd78p03NNr"
MutanteOrg,"Bogotá, D.C., Colombia","✊ #ParoNacional29A 

▪️ El Gobierno
▪️ El paro y los marchantes https://t.co/2EZnRAWZcT"
LeNgUaSaRcAsTiC,Colombia,"La represión de una #ColombiaEnDictadura solo se combate con la unión del pueblo.
#NosEstanMasacrando #NoMásEsmad… https://t.co/vKdglu9RkS"
caritoroal,Bogotá ,"#VandalismoEs poner a policía a matar compatriotas!
#ParoNacional1M #1Mayo
#NoalaReformaTributaria
#ParoNacional28A… https://t.co/VdKuT2G2Md"
maryjogc,,Los actos vandálicos criminales no son por la Reforma Tributaria. Estos son actos terroristas planeados y que inici… https://t.co/osflbpMBsZ
ocampoabogado,,https://t.co/Po6qdLCWKn Paro Nacional. Nuestro País colapsa. #ParoNacional28A #ParoNacional29A #ParoIndefinido… https://t.co/zYlcM9iCnR
Julian_El_Salsa,Cali,"#CaliResiste es la precursora de la nueva independencia de #Colombia, sepultaremos la reforma tributaria y el Uribi… https://t.co/6EopS3iCwi"
caritoroal,Bogotá ,"Cuál es la clase media? Que yo no la distingo,
La que cobra un millón trabajando hasta un domingo.

#ParoNacional1M… https://t.co/JlLzqogDzU"
caritoroal,Bogotá ,"#ParoNacional1M
#NoalaReformaTributaria
#ParoNacional28A
#ParoNacional29A
#ParoNacional30A
Ha llegado el día que el… https://t.co/AB7iJO0i8P"
andresfvillegas,Colombia,"Hoy llevé a un amigo a la primera marcha en su vida, me acaba de escribir esto y siento profundamente que el cambio… https://t.co/RIMv4bH9S0"
caritoroal,Bogotá ,"No hay garantías para los defensores de DDHH en Colombia. @HRI_ONG @TembloresOng @CIDH 
#ParoNacional1M #1Mayo… https://t.co/qzkxHRiWhc"
caritoroal,Bogotá ,"""Violencia es matar niños y llamarlos máquinas de guerra""
#ParoNacional1M #1Mayo
#NoalaReformaTributaria… https://t.co/nyxli7dJmr"
danielneuros,"Québec, Canada","Para los que se refieren a la historia, hay que saber qué cosas quemar y romper. La Revolución Francesa no inició p… https://t.co/LDrutzM1PU"
victormvasquez,"Toronto, Ontario","Admiración por este senador @wilsonariasc #ParoNacional28A
#ParoNacional29A
#ParoNacional30A
#ParoNacional1M… https://t.co/90aiSOF3t3"
Duberneyparra3,"Cali, Colombia",#ParoNacional1M #ParoNacional30A #ParoNacional29A #ParoNacional28A aguante #Bogota #caliresiste #CALIRESISTENCIA… https://t.co/O5lPWeJZCa
Duberneyparra3,"Cali, Colombia",#ParoNacional1M #ParoNacional30A #ParoNacional29A #ParoNacional28A aguante #llano #caliresiste #CALIRESISTENCIA… https://t.co/5B6OirZDiu
Duberneyparra3,"Cali, Colombia",#ParoNacional1M #ParoNacional30A #ParoNacional29A #ParoNacional28A aguante #Popayan #caliresiste #CALIRESISTENCIA… https://t.co/oKHWlhJZ4d
Duberneyparra3,"Cali, Colombia",#ParoNacional1M #ParoNacionalIndefinido #ParoNacional30A #ParoNacional29A #ParoNacional28A @cutcolombia @fecode… https://t.co/Z1MXNvYX9a
Duberneyparra3,"Cali, Colombia",#ParoNacional1M #ParoNacional30A #ParoNacional29A #paronacional28A @cutcolombia @fecode @CanalRCN @CaracolTV manipu… https://t.co/rXAN4oWGLN
Duberneyparra3,"Cali, Colombia",#ParoNacional1Mayo #ParoNacional30A #ParoNacional29A #paronacional28A  @cutcolombia @fecode @CanalRCN @Citytv… https://t.co/93b9yMT0rR
caritoroal,Bogotá ,"Malditos #vándalos destruyendo todo en las calles de..... París...
#ParoNacional1M #1Mayo
#NoalaReformaTributaria… https://t.co/9ehLi3tU9x"
Jupiter8712,,Ojo!!! Tambien tenemos que tumbar la reforma a la salud #ParoNacional30A #Paro1M #ParoIndefinido #ParoNacional29A… https://t.co/fWjeuOUqUR
caritoroal,Bogotá ,"@SoyAndresParra Qué tal estos canallas, , estos vándalos, estos mequetrefes! Jueputa! Es que aquí uno no deja de sa… https://t.co/YRASCoW1q7"
caritoroal,Bogotá ,"SE NIEGAN A VER Y ESCUCHAR!
LA GENTE ESTÁ INCONFORME CON EL PÉSIMO GOBIERNO DE DUQUE.
#ParoNacional1M #1Mayo… https://t.co/Hfykk0uqlE"
maryjogc,,@luciabastidasu @PoliciaColombia @HugoASeguridad @SeguridadBOG @Bogota @LuisErnestoGL @GobiernoBTA En Colombia busc… https://t.co/D1y4tbStQF
maryjogc,,"Ojalá la tumben.....en el Congreso, que es en donde surte su trámite para aprobación ¡No olvidamos los días de terr… https://t.co/AhEtZbRfuH"
AntonioSanguino,"Bogotá, Colombia","🚨#ViolenciaPolicial 📢

- 31 personas desaparecidas.
- 655 personas detenidas, en su mayoría bajo procedimientos arb… https://t.co/GxsddmUJkp"
caritoroal,Bogotá ,"@dw_espanol En Colombia hay una dictadura disfrazada de democracia #SOSColombia 
#ParoNacional1M #1Mayo… https://t.co/R7TAdBA8mc"
elcesargarzon,"Buenaventura, COL","Diosito, poné el pulgar sobre Colombia para que no vaya a afectar a la gente que activamente ha participado de… https://t.co/Y0D52x9u1R"
TiempoDeOpinion,el mundo,"Por qué atacar a los monumentos? Por qué son símbolos de lo que nos oprime, y por a ellos les irrita el ano...… https://t.co/qwOLMLn12I"
Carlos33453,,"#ParoNacional29A
#ParoNacional28 #Paro1M
#ParoNacional30A #SOSColombia
#Colombia #Mexico #Latinoamerica #Ecuador… https://t.co/HWGy5l83ib"
JonEchevDj,Cali,"""¡Y si nosotros ardemos, usted arderá con nosotros!"" -&gt; Katniss Everdeen

#ParoNacional #ParoNacionalIndefinido… https://t.co/Q7l1U2yyQP"
