User,Location,Text,sentiment,probability
multiversogeek1,,"no sabia que salma hayek iba a volver a las telenovelas
#Marvel #MarvelStudios #Eternals #humorNegro #Memes… https://t.co/SIVq6Z1SJj",Positivo,63
SMASHem_mx,,Conoce todos los detalles de los anuncios que #MarvelStudios realizó aquí. 😉👇🏻 https://t.co/CwP30KJZQY,Positivo,65
hollandvalee,ruel ♡ she/her   fan account,"hace 9 años se estreno ""the avengers"" que ganas de volver al pasado extraño esto #MarvelStudios #Avengers https://t.co/G8uusSXgc1",Positivo,69
normantorregros,"Distrito Federal, México","Video sin cortes: 
https://t.co/HtbgJutlk1

Bello intro con las palabras de #stanlee , al abuelito que todos amamos… https://t.co/3GdR90PrQz",Positivo,69
Freek_Online,México,Andrew Garfield declaró en reciente entrevista con el podcast HappySadConfused que NO aparecerá en… https://t.co/g2z8m8U3eR,Positivo,69
TomatazosCom,,¡Ya tenemos título oficial para #PanteraNegra2! #MarvelStudios presenta el nombre y el logo de la muy esperada secu… https://t.co/Nz8PBIvQS0,Positivo,65
AldoPineiro,mirando la luna 🌕🌙🌑,"Esta pequeña parte de mi vida...

https://t.co/sYd9nJe7y8

#fase4 #MarvelStudios #ilovethecines #amoelcine https://t.co/2JT0LmVHGl",Positivo,69
IaMysteR,México,El actor Andrew Garfield niega haber tenido conversaciones con #MarvelStudios para aparecer en la película… https://t.co/wbymMpY5uU,Positivo,55
GeekFunNews,México,Andrew Garfield ha confirmado que no ha recibido ninguna llamada por parte de Marvel Studios para participar en la… https://t.co/agEprr10Li,Positivo,66
TomatazosCom,,#MarvelStudios enfrenta demanda por presuntamente robar el diseño del traje de #IronMan. 👀😮➡️ https://t.co/Nd0yeSgRMp,Positivo,62
AllComics10,,🚨 Andrew Garfield niega haber tenido conversaciones con #MarvelStudios para aparecer en #SpiderManNoWayHome 😔 https://t.co/nzyWAMk2WQ,Positivo,55
holland_perfect,,"Abro hilo para que dejen sus preguntas sobre realidad deseada edition MARVEL.
Las respuestas serán publicadas en mi… https://t.co/lsuiYc7y7I",Positivo,66
CineTvyMs1,,"¡Bomba! Así es como luce #ImanVellani como #KamalaKhan en #MissMarvel, la nueva serie de #MarvelStudios para… https://t.co/pyS8QXRkmZ",Positivo,74
BrandonJesus_BR,,Y si la silueta bajo el logo de #DoctorStrangeInTheMultiverseOfMadness es #LaBrujaEscarlata (#WandaMaximoff) leyend… https://t.co/ciuwMimuPI,Positivo,55
ExcelsiorLieber,,"Me reitero en las ganas que tengo de ver esta película y de ver a Richard Madden como Ikaris, el resto del elenco e… https://t.co/rv38jHaLCf",Positivo,74
misaladecine1,,#MarvelStudios anuncia los próximos estrenos para 2021 y 2022 https://t.co/BbsqgwVVdR,Positivo,65
Cineimas,,"#AndrewGarfield finalmente habló tras todos los rumores de #SpiderManNoWayHome, y asegura que no ha sido llamado po… https://t.co/NO7AmGEN8W",Positivo,58
Cineimas,,"Primer vistazo a #TheEternals, la próxima cinta de #MarvelStudios dirigida por la ganadora del #Oscar #ChloeZhao 💥 https://t.co/sboQCOs1Kh",Positivo,70
SofiaJGRubio,,"EL video de #MarvelStudios !! Ya vi las primeras escenas de #Eternals, ya me emocioné y ya por favor quiero ver tod… https://t.co/p27VeH6nAF",Positivo,82
